osm_element,osm_id,building,area_m2,lat,lon,shadow_mass,levels,height_source,osm_url
way,1104400485,yes,1711.0,51.210715,71.351906,41.4,,manual,https://www.openstreetmap.org/way/1104400485
way,261094660,yes,1709.0,51.18413,71.441343,41.3,,manual,https://www.openstreetmap.org/way/261094660
way,1077512551,yes,1709.0,51.127573,71.495909,41.3,,manual,https://www.openstreetmap.org/way/1077512551
way,701741524,yes,1706.0,51.043455,71.445595,41.3,,manual,https://www.openstreetmap.org/way/701741524
way,320763766,yes,1706.0,51.180356,71.386061,41.3,,manual,https://www.openstreetmap.org/way/320763766
way,1442526664,yes,1705.0,51.032839,71.410157,41.3,,manual,https://www.openstreetmap.org/way/1442526664
way,1096309126,yes,1705.0,51.082775,71.405224,41.3,,manual,https://www.openstreetmap.org/way/1096309126
way,243301701,yes,1705.0,51.146201,71.446394,41.3,,manual,https://www.openstreetmap.org/way/243301701
way,506201766,yes,1703.0,51.164301,71.412602,41.3,,manual,https://www.openstreetmap.org/way/506201766
way,578369835,yes,1703.0,51.154701,71.36191,41.3,,manual,https://www.openstreetmap.org/way/578369835
